msa,firms,fsize,fage4,job_creation_births,job_creation_continuers,job_destruction,year2
17300,1934,m,l,654,3228,4489,1977
17420,203,m,a,1248,0,0,1977
17420,952,m,l,457,3247,2918,1977
17460,4205,m,a,30373,0,0,1977
17460,29542,m,l,26911,80294,110189,1977
17660,245,m,a,1184,0,0,1977
17660,813,m,l,194,1179,1830,1977
17780,287,m,a,1772,0,0,1977
17780,1407,m,l,711,2666,2750,1977
17820,1069,m,a,5950,0,0,1977
17820,3964,m,l,2393,7195,11668,1977
17860,312,m,a,1950,0,0,1977
17860,1590,m,l,487,2226,3611,1977
17900,1169,m,a,6289,0,0,1977
17900,6226,m,l,5524,13503,19319,1977
17980,140,m,a,769,0,0,1977
17980,688,m,l,300,1128,2285,1977
18020,141,m,a,937,0,0,1977
18020,952,m,l,745,3038,2668,1977
18140,2807,m,a,22946,0,0,1977
18140,15389,m,l,15836,59697,57685,1977
18580,942,m,a,5285,0,0,1977
18580,4779,m,l,3224,8586,14126,1977
18700,220,m,a,1263,0,0,1977
18700,951,m,l,568,1170,1993,1977
18880,326,m,a,1737,0,0,1977
18880,1398,m,l,755,1814,3914,1977
19060,203,m,a,907,0,0,1977
19060,1493,m,l,912,1797,4602,1977
19100,9208,m,a,62788,0,0,1977
19100,39745,m,l,52533,154758,168478,1977
19140,249,m,a,1488,0,0,1977
19140,1405,m,l,599,4288,4335,1977
19180,208,m,a,1208,0,0,1977
19180,1464,m,l,480,2202,4406,1977
19260,193,m,a,894,0,0,1977
19260,1461,m,l,1485,2381,2779,1977
19340,944,m,a,6528,0,0,1977
19340,5669,m,l,4313,12928,15900,1977
19380,1584,m,a,10279,0,0,1977
19380,10102,m,l,7114,24721,33788,1977
19460,277,m,a,1524,0,0,1977
19460,1428,m,l,696,2452,4611,1977
19500,263,m,a,2093,0,0,1977
19500,1918,m,l,1103,4215,5917,1977
19660,885,m,a,6391,0,0,1977
19660,3597,m,l,1394,5611,9975,1977
19740,5025,m,a,31182,0,0,1977
19740,20898,m,l,17505,60735,81941,1977
19780,1180,m,a,7447,0,0,1977
19780,6743,m,l,4802,15274,21631,1977
19820,8415,m,a,61014,0,0,1977
19820,49353,m,l,41168,187535,181624,1977
20020,320,m,a,1685,0,0,1977
20020,1758,m,l,462,3529,5186,1977
20100,221,m,a,878,0,0,1977
20100,1339,m,l,1033,2506,3129,1977
20220,245,m,a,1222,0,0,1977
20220,1492,m,l,422,3671,3088,1977
20260,636,m,a,4386,0,0,1977
20260,4069,m,l,1581,7697,13216,1977
20500,642,m,a,4355,0,0,1977
20500,3531,m,l,1684,7465,11434,1977
20740,315,m,a,1713,0,0,1977
20740,1863,m,l,822,3231,4498,1977
20940,237,m,a,1723,0,0,1977
20940,1246,m,l,468,1516,3227,1977
21060,190,m,a,862,0,0,1977
21060,943,m,l,229,1777,1594,1977
21140,412,m,a,3548,0,0,1977
21140,2438,m,l,1676,9733,7178,1977
21300,172,m,a,925,0,0,1977
21300,1361,m,l,1516,4005,5254,1977
21340,1048,m,a,7023,0,0,1977
21340,5016,m,l,3202,11223,23293,1977
21500,537,m,a,4174,0,0,1977
21500,3796,m,l,2548,8317,11665,1977
21660,1061,m,a,5920,0,0,1977
21660,4019,m,l,1488,8738,9787,1977
21780,839,m,a,6026,0,0,1977
21780,4796,m,l,3231,10193,12182,1977
21820,198,m,a,1354,0,0,1977
21820,740,m,l,1245,3592,11040,1977
22020,441,m,a,2485,0,0,1977
22020,2468,m,l,1246,4983,6962,1977
22140,259,m,a,1323,0,0,1977
22140,1005,m,l,1025,2147,3119,1977
22180,530,m,a,4165,0,0,1977
22180,2494,m,l,1949,4370,10350,1977
22220,626,m,a,2734,0,0,1977
22220,2507,m,l,980,5703,6512,1977
22380,205,m,a,1126,0,0,1977
22380,920,m,l,650,2088,2285,1977
22420,819,m,a,5574,0,0,1977
22420,4572,m,l,1568,17176,12409,1977
22500,452,m,a,2462,0,0,1977
22500,2396,m,l,545,3537,6507,1977
22520,316,m,a,1691,0,0,1977
22520,1742,m,l,498,2881,4342,1977
22540,196,m,a,1364,0,0,1977
22540,1356,m,l,402,2607,2958,1977
22660,624,m,a,2863,0,0,1977
22660,2080,m,l,1588,3648,4151,1977
22900,552,m,a,3118,0,0,1977
22900,2913,m,l,1627,17615,7689,1977
23060,725,m,a,5701,0,0,1977
23060,4817,m,l,2392,14942,14955,1977
23420,1585,m,a,9292,0,0,1977
23420,7393,m,l,3057,15949,19428,1977
23460,208,m,a,1100,0,0,1977
23460,1335,m,l,713,2379,3488,1977
23540,448,m,a,2830,0,0,1977
23540,1912,m,l,928,2779,5508,1977
23580,214,m,a,1157,0,0,1977
23580,1126,m,l,950,6910,2289,1977
24020,226,m,a,2198,0,0,1977
24020,1558,m,l,1040,2425,3908,1977
24140,218,m,a,1067,0,0,1977
24140,1279,m,l,683,2524,2536,1977
24220,297,m,a,2029,0,0,1977
24220,1608,m,l,516,2275,3276,1977
24300,393,m,a,1932,0,0,1977
24300,1335,m,l,780,2392,3987,1977
24340,1210,m,a,9052,0,0,1977
24340,7698,m,l,3255,21022,22441,1977
24500,296,m,a,1557,0,0,1977
24500,1425,m,l,1386,9102,3071,1977
24540,353,m,a,1905,0,0,1977
24540,1585,m,l,594,11939,4351,1977
24580,525,m,a,3630,0,0,1977
24580,3295,m,l,1268,6938,8170,1977
24660,1177,m,a,7421,0,0,1977
24660,7416,m,l,6071,19663,33584,1977
24780,267,m,a,1140,0,0,1977
24780,1299,m,l,347,2441,3383,1977
24860,986,m,a,4987,0,0,1977
24860,5564,m,l,7602,14835,23907,1977
25060,471,m,a,3588,0,0,1977
25060,2342,m,l,1831,4947,6990,1977
25180,349,m,a,1771,0,0,1977
25180,2289,m,l,2201,4723,5824,1977
25260,147,m,a,727,0,0,1977
25260,855,m,l,145,1446,1445,1977
25420,909,m,a,5822,0,0,1977
25420,6218,m,l,6341,21210,19820,1977
25500,154,m,a,814,0,0,1977
25500,1113,m,l,336,1852,2510,1977
25540,2450,m,a,15677,0,0,1977
25540,15565,m,l,7004,48220,55632,1977
25620,240,m,a,1627,0,0,1977
25620,1300,m,l,781,2719,3216,1977
25860,619,m,a,4012,0,0,1977
25860,3670,m,l,2412,9663,12381,1977
25980,53,m,a,334,0,0,1977
25980,203,m,l,329,283,309,1977
26100,295,m,a,2154,0,0,1977
26100,1961,m,l,1168,4626,4229,1977
26180,1903,m,a,16069,0,0,1977
26180,9775,m,l,6218,23324,33226,1977
26300,250,m,a,1473,0,0,1977
26300,1247,m,l,335,2805,2664,1977
26380,476,m,a,2434,0,0,1977
26380,2552,m,l,1955,4504,8147,1977
26420,9088,m,a,65047,0,0,1977
26420,36242,m,l,49701,136325,171771,1977
26580,637,m,a,3481,0,0,1977
26580,3841,m,l,2454,7468,9464,1977
26620,573,m,a,3223,0,0,1977
26620,2845,m,l,2731,7039,9335,1977
