city,state,year,firms,job_births,job_continuers,job_destruction,lat,lon
Kennewick,WA,1987,2572,2508,5014,7955,46.2112458,-119.1372338
Knoxville,TN,1987,10263,15716,20099,27814,35.9606384,-83.9207392
Lafayette,IN,1987,2547,3316,4933,6286,40.4167022,-86.8752869
Lafayette,LA,1987,4624,5934,7182,24346,30.2240897,-92.0198427
Lake Charles,LA,1987,3070,5029,4070,8377,30.2265949,-93.2173758
Lansing,MI,1987,6682,9726,14143,21150,42.732535,-84.5555347
Laredo,TX,1987,1863,2114,2340,6076,27.506407,-99.5075421
Las Vegas,NV,1987,9978,21050,37673,32880,36.114646,-115.172816
Lawton,OK,1987,1713,1451,2290,3686,34.6086854,-98.3903305
Lexington,KY,1987,7130,10518,13525,24691,38.0317136,-84.4951359
Lima,OH,1987,2201,2255,4045,5470,40.742551,-84.1052256
Longview,TX,1987,3934,4240,4411,13063,32.5007037,-94.7404891
Los Angeles,CA,1987,199808,351141,582169,837895,34.0522342,-118.2436849
Lubbock,TX,1987,4758,5792,6919,14405,33.5778631,-101.8551665
Lynchburg,VA,1987,3628,3650,6372,8178,37.4137536,-79.1422464
Macon,GA,1987,3708,5139,6448,10581,32.8406946,-83.6324022
Madison,WI,1987,8512,12000,16775,16873,43.0730517,-89.4012302
Manchester,NH,1987,7614,12872,16818,26180,42.9956397,-71.4547891
Mankato,MN,1987,1680,963,3008,2985,44.1635775,-93.9993996
McAllen,TX,1987,4316,5590,7272,13111,26.2034071,-98.2300124
Memphis,TN,1987,16502,26788,44914,71051,35.1495343,-90.0489801
Midland,TX,1987,2806,3093,3867,13157,31.9973456,-102.0779146
Milwaukee,WI,1987,26041,42836,58201,73324,43.0389025,-87.9064736
Missoula,MT,1987,2169,1823,3710,4056,46.872146,-113.9939982
Modesto,CA,1987,5612,6580,11420,13284,37.6390972,-120.9968782
Montgomery,AL,1987,5071,7097,12212,18129,32.3668052,-86.2999689
Myrtle Beach,SC,1987,3580,5739,5622,9725,33.6890603,-78.8866943
Naples,FL,1987,3816,6341,6048,8150,26.1420358,-81.7948103
Nashville,TN,1987,19245,34004,50091,73596,36.1658899,-86.7844432
New Haven,CT,1987,16853,18864,36953,46122,41.3081527,-72.9281577
New Orleans,LA,1987,21280,32189,40575,97528,29.9647222,-90.0705556
New York,NY,1987,359297,462116,804090,1127892,40.7142691,-74.0059729
Oklahoma City,OK,1987,18264,27241,32098,71997,35.4675602,-97.5164276
Omaha,NE,1987,12596,19266,29839,39754,41.254006,-95.999258
Panama City,FL,1987,2765,4518,4615,7463,30.1588129,-85.6602058
Parkersburg,WV,1987,3038,2807,5217,6082,39.2667418,-81.5615135
Pensacola,FL,1987,5667,9546,10790,16154,30.421309,-87.2169149
Philadelphia,PA,1987,92433,137922,240635,342756,39.952335,-75.163789
Phoenix,AZ,1987,37647,78169,88727,160481,33.4483771,-112.0740373
Pine Bluff,AR,1987,1665,2580,2316,3590,34.2284312,-92.0031955
Pittsburgh,PA,1987,41277,58083,94004,137422,40.4406248,-79.9958864
Pocatello,ID,1987,1377,1500,1393,3630,42.8713032,-112.4455344
Portland,OR,1987,29685,42971,62531,86162,45.5234515,-122.6762071
Pueblo,CO,1987,2260,2152,2664,5275,38.2544472,-104.6091409
Rapid City,SD,1987,2275,2696,3175,4465,44.0805434,-103.2310149
Redding,CA,1987,3391,3377,5728,5648,40.5865396,-122.3916754
Reno,NV,1987,6191,12523,15320,25207,39.5296329,-119.8138027
Rochester,NY,1987,15552,19434,44727,73485,43.1547845,-77.6155567
Rockford,IL,1987,5343,6317,10949,17377,42.2711311,-89.0939952
St. Joseph,MO,1987,2126,2712,3036,5942,39.7577778,-94.8363889
St. Louis,MO,1987,44897,70865,113682,168329,38.646991,-90.224967
Salinas,CA,1987,6186,8045,11334,15438,36.6777372,-121.6555013
Salisbury,MD,1987,1935,2796,3702,5140,38.3606736,-75.5993692
Salt Lake City,UT,1987,14038,24660,36251,56654,40.7607793,-111.8910474
San Angelo,TX,1987,2077,2196,2679,8284,31.4637723,-100.4370375
San Antonio,TX,1987,21754,36458,45330,86215,29.4241219,-98.4936282
San Diego,CA,1987,40041,77813,98018,146385,32.7153292,-117.1572551
San Jose,CA,1987,28258,47706,82646,113005,37.3393857,-121.8949555
San Luis Obispo,CA,1987,4493,5631,6464,8825,35.2827524,-120.6596156
Santa Fe,NM,1987,2410,3096,3507,5813,35.6869752,-105.937799
Savannah,GA,1987,4749,7583,10123,15253,32.0835407,-81.0998342
Scranton,PA,1987,9733,13563,19320,29286,41.408969,-75.6624122
Shreveport,LA,1987,6729,8087,10677,25757,32.5251516,-93.7501789
Sioux City,IA,1987,2752,3167,4827,9004,42.4999942,-96.4003069
Sioux Falls,SD,1987,3616,3419,5719,7741,43.5499749,-96.700327
Spokane,WA,1987,7015,9108,12504,22613,47.6587802,-117.4260466
Springfield,IL,1987,3808,3818,6966,8869,39.8403147,-88.9548001
Springfield,MO,1987,6029,6701,10735,14190,37.215326,-93.2982436
Syracuse,NY,1987,11220,15647,24827,35787,43.0481221,-76.1474244
Terre Haute,IN,1987,2757,2905,4499,5773,39.4667034,-87.4139092
Toledo,OH,1987,11100,15123,25833,36180,41.6639383,-83.555212
Topeka,KS,1987,4171,4737,7248,9810,39.0483336,-95.6780371
Tucson,AZ,1987,11074,21401,24002,40620,32.2217429,-110.926479
Tulsa,OK,1987,15197,23443,24282,61631,36.1539816,-95.992775
Utica,NY,1987,4964,4728,8889,11096,43.100903,-75.232664
Victoria,TX,1987,2171,1806,1902,6268,28.8052674,-97.0035982
Visalia,CA,1987,4455,6084,10211,10222,36.3302284,-119.2920585
Wilmington,NC,1987,4145,5030,6713,10449,34.2257255,-77.9447102
York,PA,1987,5755,8258,11149,17892,39.9625984,-76.727745
Youngstown,OH,1987,10059,11840,16911,30064,41.0997803,-80.6495194
Akron,OH,1992,12064,12017,33889,37656,41.0814447,-81.5190053
Albany,GA,1992,2554,2651,4724,6198,31.5785074,-84.155741
Alexandria,LA,1992,2421,1775,4656,5896,31.3112936,-92.4451371
Altoona,PA,1992,2524,1773,3659,6189,40.5186809,-78.3947359
Amarillo,TX,1992,4149,4377,7337,10179,35.2219971,-101.8312969
Ames,IA,1992,1408,1047,2302,4080,42.02335,-93.625622
Anchorage,AK,1992,5872,5933,12861,17699,61.2180556,-149.9002778
Anderson,SC,1992,2577,3184,4476,5977,34.5034394,-82.6501332
Appleton,WI,1992,3557,4110,7007,8604,44.2619309,-88.4153847
Atlanta,GA,1992,60421,108995,179383,257813,33.7489954,-84.3879824
Augusta,GA,1992,6857,6697,15074,20121,33.47,-81.975
Austin,TX,1992,16576,27131,37812,47151,30.267153,-97.7430608
Bakersfield,CA,1992,8359,10936,15719,28961,35.3732921,-119.0187125
Baltimore,MD,1992,41819,51471,92573,157192,39.2903848,-76.6121893
Bangor,ME,1992,2951,2012,3869,6896,44.8011821,-68.7778138
Baton Rouge,LA,1992,10552,12982,27865,33075,30.4507462,-91.154551
Battle Creek,MI,1992,2339,2226,4199,6968,42.3211522,-85.1797142
Bay City,MI,1992,1978,1346,2429,4367,43.5944677,-83.8888647
Bend,OR,1992,2466,2438,3224,4865,44.0581728,-121.3153096
Billings,MT,1992,3441,2746,6361,6214,45.7832856,-108.5006904
Binghamton,NY,1992,4193,3208,8755,12489,42.0986867,-75.9179738
Birmingham,AL,1992,16953,19031,40945,61576,33.5206608,-86.80249
Bloomington,IL,1992,2531,3077,4836,7330,40.4842027,-88.9936873
Bowling Green,KY,1992,1831,1844,3788,4946,36.9903199,-86.4436018
Buffalo,NY,1992,20633,24308,46296,63518,42.8864468,-78.8783689
Canton,OH,1992,7299,5392,11053,18350,40.7989473,-81.378447
Champaign,IL,1992,3632,3428,5787,8909,39.8403147,-88.9548001
Charleston,SC,1992,8889,11309,21202,28424,32.7765656,-79.9309216
Charlotte,NC,1992,22370,38110,59087,89953,35.2270869,-80.8431267
Charlottesville,VA,1992,3382,2192,4316,6658,38.0293059,-78.4766781
Chattanooga,TN,1992,8003,7690,17689,29545,35.0456297,-85.3096801
Chicago,IL,1992,147924,224667,378891,566688,41.850033,-87.6500523
Cincinnati,OH,1992,31124,35499,72756,114936,39.1361111,-84.5030556
Columbia,SC,1992,10296,12071,19319,32061,34.0007104,-81.0348144
Columbus,GA,1992,957,738,1866,1302,32.4609764,-84.9877094
Columbus,OH,1992,23939,37036,64285,87599,39.9611755,-82.9987942
Corpus Christi,TX,1992,6753,7619,11610,18380,27.8005828,-97.396381
Dayton,OH,1992,13564,15217,28743,50282,39.7589478,-84.1916069
Decatur,AL,1992,2340,2101,4062,4745,34.6059253,-86.9833417
Denver,CO,1992,37808,55232,87928,121628,39.7391536,-104.9847034
Detroit,MI,1992,69938,86125,185207,242795,42.331427,-83.0457538
Dothan,AL,1992,2542,2731,4979,6058,31.2232313,-85.3904888
Durham,NC,1992,6501,7374,21393,20086,35.9940329,-78.898619
Eau Claire,WI,1992,2813,2608,6034,6313,44.811349,-91.4984941
El Centro,CA,1992,1833,1790,3738,4689,32.792,-115.5630514
Elkhart,IN,1992,3691,4655,12642,10211,41.6819935,-85.9766671
Elmira,NY,1992,1638,1280,2087,5281,42.0897965,-76.8077338
El Paso,TX,1992,8487,13313,22671,29596,31.7587198,-106.4869314
Erie,PA,1992,5053,9650,9050,18770,42.1292241,-80.085059
Eugene,OR,1992,6720,7760,9736,15861,44.0520691,-123.0867536
Evansville,IN,1992,6543,6029,14922,18598,37.9747644,-87.5558482
Fairbanks,AK,1992,1461,1878,2183,3907,64.8377778,-147.7163889
Fayetteville,NC,1992,3797,4194,8150,8239,35.0526641,-78.8783585
Florence,AL,1992,2549,1897,5419,7442,34.79981,-87.677251
Gainesville,FL,1992,3860,4420,5981,9082,29.6516344,-82.3248262
Great Falls,MT,1992,1927,1690,2901,3141,47.5002354,-111.3008083
Gulfport,MS,1992,3521,4100,5919,11112,30.3674198,-89.0928155
Hagerstown,MD,1992,3474,3043,5760,7732,39.6417629,-77.7199932
Harrisonburg,VA,1992,1920,2866,3184,3776,38.4495688,-78.8689155
Hartford,CT,1992,22400,23465,43616,87666,41.7637111,-72.6850932
Honolulu,HI,1992,15621,16545,34362,49951,21.3069444,-157.8583333
Houston,TX,1992,66129,131528,191918,298041,29.7628844,-95.3830615
Huntington,WV,1992,4761,3162,7667,11081,38.4192496,-82.445154
Indianapolis,IN,1992,25132,43683,56932,93928,39.7683765,-86.1580423
Iowa City,IA,1992,2304,2151,4830,4812,41.677204,-91.5162792
Jackson,MS,1992,8189,9119,21890,26977,32.2987573,-90.1848103
Jackson,TN,1992,2099,3095,5279,4841,35.6145169,-88.8139469
Jacksonville,FL,1992,17779,29747,38358,63385,30.3321838,-81.655651
Jefferson City,MO,1992,2485,1888,4009,5116,38.5767017,-92.1735164
Jonesboro,AR,1992,1930,1437,3576,4283,35.8422967,-90.704279
Kansas City,MO,1992,31457,43589,73701,115343,39.0997265,-94.5785667
Kennewick,WA,1992,2841,2560,5383,5610,46.2112458,-119.1372338
Knoxville,TN,1992,10936,13420,23591,30911,35.9606384,-83.9207392
Lafayette,IN,1992,2746,2559,5061,7001,40.4167022,-86.8752869
Lafayette,LA,1992,4900,6181,12591,14720,30.2240897,-92.0198427
Lake Charles,LA,1992,3132,2622,10375,9058,30.2265949,-93.2173758
Lansing,MI,1992,7276,6485,13517,19599,42.732535,-84.5555347
Laredo,TX,1992,2634,3864,4061,7202,27.506407,-99.5075421
Las Vegas,NV,1992,13031,27208,34573,60103,36.114646,-115.172816
Lawton,OK,1992,1696,1513,2675,3602,34.6086854,-98.3903305
Lexington,KY,1992,7620,7930,16843,23610,38.0317136,-84.4951359
Lima,OH,1992,2205,1865,3666,5310,40.742551,-84.1052256
Longview,TX,1992,3922,3112,6062,8822,32.5007037,-94.7404891
Los Angeles,CA,1992,208167,387921,498730,1058553,34.0522342,-118.2436849
Lubbock,TX,1992,4884,6196,8936,13782,33.5778631,-101.8551665
Lynchburg,VA,1992,3971,6215,6756,8626,37.4137536,-79.1422464
Macon,GA,1992,3863,5089,7191,15622,32.8406946,-83.6324022
Madison,WI,1992,9303,9122,18250,22993,43.0730517,-89.4012302
Manchester,NH,1992,7391,7943,14095,23948,42.9956397,-71.4547891
Mankato,MN,1992,1766,2016,3031,3807,44.1635775,-93.9993996
McAllen,TX,1992,5089,7215,9436,14439,26.2034071,-98.2300124
Memphis,TN,1992,17379,25371,54702,70515,35.1495343,-90.0489801
Midland,TX,1992,3063,2833,4289,7659,31.9973456,-102.0779146
Milwaukee,WI,1992,27970,28623,58556,87681,43.0389025,-87.9064736
Missoula,MT,1992,2355,2048,4348,3997,46.872146,-113.9939982
Modesto,CA,1992,6179,5622,10451,18297,37.6390972,-120.9968782
Montgomery,AL,1992,5548,6893,12818,15724,32.3668052,-86.2999689
Myrtle Beach,SC,1992,4122,4448,6357,8871,33.6890603,-78.8866943
Naples,FL,1992,4954,6931,6195,12481,26.1420358,-81.7948103
Nashville,TN,1992,20985,30758,50688,71002,36.1658899,-86.7844432
New Haven,CT,1992,16441,15482,28186,50665,41.3081527,-72.9281577
New Orleans,LA,1992,21389,31547,51360,79135,29.9647222,-90.0705556
New York,NY,1992,354964,393392,745614,1153388,40.7142691,-74.0059729
Oklahoma City,OK,1992,19181,22883,38243,56429,35.4675602,-97.5164276
Omaha,NE,1992,13479,16058,28204,40690,41.254006,-95.999258
Panama City,FL,1992,2967,2917,5399,6889,30.1588129,-85.6602058
Parkersburg,WV,1992,3101,2854,4953,5959,39.2667418,-81.5615135
Pensacola,FL,1992,6009,7316,12823,16302,30.421309,-87.2169149
Philadelphia,PA,1992,97074,120470,202080,376369,39.952335,-75.163789
Phoenix,AZ,1992,40147,69655,101772,156836,33.4483771,-112.0740373
Pine Bluff,AR,1992,1617,1100,2851,3770,34.2284312,-92.0031955
Pittsburgh,PA,1992,43548,45903,92205,132695,40.4406248,-79.9958864
Pocatello,ID,1992,1474,1668,2196,3581,42.8713032,-112.4455344
Portland,OR,1992,33670,39230,67901,109526,45.5234515,-122.6762071
Pueblo,CO,1992,2239,1723,4253,4642,38.2544472,-104.6091409
Rapid City,SD,1992,2547,2485,3918,4998,44.0805434,-103.2310149
Redding,CA,1992,3726,2903,4596,8315,40.5865396,-122.3916754
Reno,NV,1992,6939,7345,12340,20665,39.5296329,-119.8138027
Rochester,NY,1992,16354,20520,35842,54956,43.1547845,-77.6155567
Rockford,IL,1992,5740,5093,12300,16593,42.2711311,-89.0939952
St. Joseph,MO,1992,2231,1655,3751,5250,39.7577778,-94.8363889
St. Louis,MO,1992,47350,53484,105320,159310,38.646991,-90.224967
Salinas,CA,1992,6505,7593,9702,17308,36.6777372,-121.6555013
Salisbury,MD,1992,2125,1874,3148,6657,38.3606736,-75.5993692
Salt Lake City,UT,1992,15289,20978,45212,58561,40.7607793,-111.8910474
San Angelo,TX,1992,2029,2847,3049,5009,31.4637723,-100.4370375
San Antonio,TX,1992,22211,38620,53155,72757,29.4241219,-98.4936282
San Diego,CA,1992,44250,57624,90693,170410,32.7153292,-117.1572551
San Jose,CA,1992,30550,50159,78575,151826,37.3393857,-121.8949555
San Luis Obispo,CA,1992,4935,4027,7185,11509,35.2827524,-120.6596156
Santa Fe,NM,1992,3024,2803,4039,6748,35.6869752,-105.937799
Savannah,GA,1992,5068,7258,11451,14302,32.0835407,-81.0998342
Scranton,PA,1992,10340,11287,19210,31101,41.408969,-75.6624122
Shreveport,LA,1992,6236,7211,15675,18299,32.5251516,-93.7501789
Sioux City,IA,1992,2852,3996,5309,8085,42.4999942,-96.4003069
Sioux Falls,SD,1992,4058,3942,8330,9334,43.5499749,-96.700327
Spokane,WA,1992,7856,7901,15818,19196,47.6587802,-117.4260466
Springfield,IL,1992,4082,4237,7048,11376,39.8403147,-88.9548001
Springfield,MO,1992,6710,7929,12323,14603,37.215326,-93.2982436
Syracuse,NY,1992,11687,12262,26299,38898,43.0481221,-76.1474244
Terre Haute,IN,1992,2910,2933,4798,7084,39.4667034,-87.4139092
Toledo,OH,1992,11572,11162,24441,36824,41.6639383,-83.555212
Topeka,KS,1992,4330,3443,6606,9480,39.0483336,-95.6780371
Tucson,AZ,1992,11743,13861,22642,35518,32.2217429,-110.926479
Tulsa,OK,1992,15682,17147,30344,47639,36.1539816,-95.992775
Utica,NY,1992,5126,3158,8948,12289,43.100903,-75.232664
Victoria,TX,1992,2113,1624,2916,3852,28.8052674,-97.0035982
Visalia,CA,1992,4790,4695,11246,12723,36.3302284,-119.2920585
Wilmington,NC,1992,4848,5337,8710,10328,34.2257255,-77.9447102
York,PA,1992,6110,4972,11323,18209,39.9625984,-76.727745
Youngstown,OH,1992,10394,8768,19381,26142,41.0997803,-80.6495194
Akron,OH,1997,13159,15060,25477,43038,41.0814447,-81.5190053
Albany,GA,1997,2712,2666,6030,6926,31.5785074,-84.155741
Alexandria,LA,1997,2651,3434,4271,8304,31.3112936,-92.4451371
Altoona,PA,1997,2620,2021,4751,6334,40.5186809,-78.3947359
Amarillo,TX,1997,4476,4604,7642,13532,35.2219971,-101.8312969
Ames,IA,1997,1499,1544,3084,3282,42.02335,-93.625622
Anchorage,AK,1997,6617,7341,13801,18348,61.2180556,-149.9002778
Anderson,SC,1997,2826,3462,4184,7999,34.5034394,-82.6501332
Appleton,WI,1997,4132,5771,7446,11061,44.2619309,-88.4153847
Atlanta,GA,1997,73575,150716,231530,314705,33.7489954,-84.3879824
Augusta,GA,1997,7404,9160,15215,28290,33.47,-81.975
Austin,TX,1997,21323,41038,54704,70234,30.267153,-97.7430608
Bakersfield,CA,1997,8106,9101,17233,27092,35.3732921,-119.0187125
Baltimore,MD,1997,44686,66551,107710,145844,39.2903848,-76.6121893
Bangor,ME,1997,3071,2551,3911,6937,44.8011821,-68.7778138
Baton Rouge,LA,1997,12020,16982,29482,39085,30.4507462,-91.154551
Battle Creek,MI,1997,2491,2458,5487,8224,42.3211522,-85.1797142
Bay City,MI,1997,2134,2087,3204,4492,43.5944677,-83.8888647
Bend,OR,1997,3130,3194,4474,6419,44.0581728,-121.3153096
Billings,MT,1997,3950,3510,5607,8244,45.7832856,-108.5006904
Binghamton,NY,1997,3956,4032,6933,11868,42.0986867,-75.9179738
Birmingham,AL,1997,18675,30753,48495,72058,33.5206608,-86.80249
Bloomington,IL,1997,2780,3381,6610,9257,40.4842027,-88.9936873
Bowling Green,KY,1997,2081,3041,4689,6211,36.9903199,-86.4436018
Buffalo,NY,1997,20522,24791,40825,64287,42.8864468,-78.8783689
Canton,OH,1997,7705,8312,13106,22995,40.7989473,-81.378447
Champaign,IL,1997,3817,4649,6736,10176,39.8403147,-88.9548001
Charleston,SC,1997,9699,14112,22163,25615,32.7765656,-79.9309216
Charlotte,NC,1997,26037,57024,68432,103031,35.2270869,-80.8431267
Charlottesville,VA,1997,3861,3134,6402,6836,38.0293059,-78.4766781
Chattanooga,TN,1997,8585,13093,21515,25191,35.0456297,-85.3096801
Chicago,IL,1997,160511,221084,427509,575168,41.850033,-87.6500523
Cincinnati,OH,1997,33626,61097,92313,129134,39.1361111,-84.5030556
Columbia,SC,1997,11417,14464,25534,34931,34.0007104,-81.0348144
Columbus,GA,1997,1136,1051,2046,3426,32.4609764,-84.9877094
Columbus,OH,1997,26548,62069,77712,116037,39.9611755,-82.9987942
Corpus Christi,TX,1997,7243,13170,15019,22428,27.8005828,-97.396381
Dayton,OH,1997,14187,22410,41618,53863,39.7589478,-84.1916069
Decatur,AL,1997,2619,2951,5296,6090,34.6059253,-86.9833417
Denver,CO,1997,45415,81875,109742,160666,39.7391536,-104.9847034
Detroit,MI,1997,75459,117102,227866,298326,42.331427,-83.0457538
Dothan,AL,1997,2846,3923,5051,8901,31.2232313,-85.3904888
Durham,NC,1997,7627,10692,24291,26907,35.9940329,-78.898619
Eau Claire,WI,1997,3014,3041,5598,8059,44.811349,-91.4984941
El Centro,CA,1997,1840,1924,2528,4638,32.792,-115.5630514
Elkhart,IN,1997,4008,4453,11563,15199,41.6819935,-85.9766671
Elmira,NY,1997,1534,1104,3122,3799,42.0897965,-76.8077338
El Paso,TX,1997,8941,13575,24423,33536,31.7587198,-106.4869314
Erie,PA,1997,5215,7260,9307,15134,42.1292241,-80.085059
Eugene,OR,1997,7591,7937,14253,18776,44.0520691,-123.0867536
Evansville,IN,1997,6847,8863,13395,19115,37.9747644,-87.5558482
Fairbanks,AK,1997,1660,1677,2620,3332,64.8377778,-147.7163889
Fayetteville,NC,1997,4319,4687,8608,11276,35.0526641,-78.8783585
Florence,AL,1997,2800,3014,4857,9839,34.79981,-87.677251
Gainesville,FL,1997,4124,4672,7426,17504,29.6516344,-82.3248262
Great Falls,MT,1997,2058,1378,3167,4852,47.5002354,-111.3008083
Gulfport,MS,1997,4084,6663,10430,12416,30.3674198,-89.0928155
Hagerstown,MD,1997,3720,3785,7483,8843,39.6417629,-77.7199932
Harrisonburg,VA,1997,2067,1663,3801,3915,38.4495688,-78.8689155
Hartford,CT,1997,22827,31909,57377,71606,41.7637111,-72.6850932
Honolulu,HI,1997,15485,14104,27220,44634,21.3069444,-157.8583333
Houston,TX,1997,73467,138699,225716,307866,29.7628844,-95.3830615
Huntington,WV,1997,4981,4745,8133,12760,38.4192496,-82.445154
Indianapolis,IN,1997,28034,45916,79767,106177,39.7683765,-86.1580423
Iowa City,IA,1997,2581,2002,4239,5251,41.677204,-91.5162792
Jackson,MS,1997,8859,11756,26597,32690,32.2987573,-90.1848103
Jackson,TN,1997,2325,3440,6591,6700,35.6145169,-88.8139469
Jacksonville,FL,1997,19549,35647,46645,75324,30.3321838,-81.655651
Jefferson City,MO,1997,2697,1760,4027,6152,38.5767017,-92.1735164
Jonesboro,AR,1997,2159,2956,3253,4483,35.8422967,-90.704279
Kansas City,MO,1997,34939,52572,87824,116857,39.0997265,-94.5785667
Kennewick,WA,1997,3319,11060,4648,18377,46.2112458,-119.1372338
Knoxville,TN,1997,12003,16795,25233,45566,35.9606384,-83.9207392
Lafayette,IN,1997,2986,4222,5764,8895,40.4167022,-86.8752869
Lafayette,LA,1997,5607,7043,12836,15071,30.2240897,-92.0198427
Lake Charles,LA,1997,3474,4273,9574,11221,30.2265949,-93.2173758
Lansing,MI,1997,7988,8273,18362,22292,42.732535,-84.5555347
Laredo,TX,1997,3021,4359,5249,6436,27.506407,-99.5075421
Las Vegas,NV,1997,17202,48151,63279,75538,36.114646,-115.172816
Lawton,OK,1997,1778,2618,2353,4321,34.6086854,-98.3903305
Lexington,KY,1997,8280,9952,23244,26839,38.0317136,-84.4951359
Lima,OH,1997,2335,2133,4839,7764,40.742551,-84.1052256
Longview,TX,1997,4138,4328,7473,9317,32.5007037,-94.7404891
Los Angeles,CA,1997,212511,359499,597793,824588,34.0522342,-118.2436849
Lubbock,TX,1997,5179,5954,9388,13821,33.5778631,-101.8551665
Lynchburg,VA,1997,4357,3567,7605,11289,37.4137536,-79.1422464
Macon,GA,1997,4198,6262,8815,13035,32.8406946,-83.6324022
Madison,WI,1997,10510,13825,23426,27582,43.0730517,-89.4012302
Manchester,NH,1997,8139,10389,17962,24366,42.9956397,-71.4547891
Mankato,MN,1997,1834,1728,3127,4584,44.1635775,-93.9993996
McAllen,TX,1997,5951,8342,11529,15804,26.2034071,-98.2300124
Memphis,TN,1997,18497,33492,63840,74695,35.1495343,-90.0489801
Midland,TX,1997,3304,4075,5600,7989,31.9973456,-102.0779146
Milwaukee,WI,1997,29469,36557,70810,96821,43.0389025,-87.9064736
Missoula,MT,1997,2751,2598,4297,5184,46.872146,-113.9939982
Modesto,CA,1997,6184,6419,13045,13978,37.6390972,-120.9968782
Montgomery,AL,1997,6222,8145,12817,18999,32.3668052,-86.2999689
Myrtle Beach,SC,1997,5091,6839,8917,13199,33.6890603,-78.8866943
Naples,FL,1997,5950,6052,9823,12016,26.1420358,-81.7948103
Nashville,TN,1997,24497,45496,67022,94905,36.1658899,-86.7844432
New Haven,CT,1997,16526,16313,34791,43331,41.3081527,-72.9281577
New Orleans,LA,1997,23288,30480,58086,83214,29.9647222,-90.0705556
New York,NY,1997,377760,443575,826805,1094023,40.7142691,-74.0059729
Oklahoma City,OK,1997,21569,31205,44351,64900,35.4675602,-97.5164276
Omaha,NE,1997,14473,24409,34071,59852,41.254006,-95.999258
Panama City,FL,1997,3231,3178,5820,8084,30.1588129,-85.6602058
Parkersburg,WV,1997,3319,3016,4528,7177,39.2667418,-81.5615135
Pensacola,FL,1997,6437,8224,12687,20132,30.421309,-87.2169149
Philadelphia,PA,1997,101559,137162,260218,359638,39.952335,-75.163789
Phoenix,AZ,1997,48128,110229,166198,200772,33.4483771,-112.0740373
Pine Bluff,AR,1997,1601,1166,2710,3627,34.2284312,-92.0031955
Pittsburgh,PA,1997,44601,58832,104738,141338,40.4406248,-79.9958864
Pocatello,ID,1997,1609,1627,2173,3436,42.8713032,-112.4455344
Portland,OR,1997,40071,58161,100706,120260,45.5234515,-122.6762071
Pueblo,CO,1997,2492,2742,4724,5089,38.2544472,-104.6091409
Rapid City,SD,1997,2873,2959,4347,6484,44.0805434,-103.2310149
Redding,CA,1997,3533,3209,5078,6942,40.5865396,-122.3916754
Reno,NV,1997,8029,13771,18464,25451,39.5296329,-119.8138027
Rochester,NY,1997,16561,18813,46360,64636,43.1547845,-77.6155567
Rockford,IL,1997,6091,7496,11046,17890,42.2711311,-89.0939952
St. Joseph,MO,1997,2377,2673,3769,5264,39.7577778,-94.8363889
St. Louis,MO,1997,49986,65533,133188,157017,38.646991,-90.224967
Salinas,CA,1997,6539,6637,10933,17369,36.6777372,-121.6555013
Salisbury,MD,1997,2228,2739,4709,4421,38.3606736,-75.5993692
Salt Lake City,UT,1997,18746,38437,55708,67546,40.7607793,-111.8910474
San Angelo,TX,1997,2099,1805,4233,4600,31.4637723,-100.4370375
San Antonio,TX,1997,24963,46088,72388,91089,29.4241219,-98.4936282
San Diego,CA,1997,45829,60809,117768,146203,32.7153292,-117.1572551
San Jose,CA,1997,33468,53573,126441,137189,37.3393857,-121.8949555
San Luis Obispo,CA,1997,5088,5061,9514,9987,35.2827524,-120.6596156
Santa Fe,NM,1997,3504,3092,4797,7669,35.6869752,-105.937799
Savannah,GA,1997,5555,6524,11757,16027,32.0835407,-81.0998342
Scranton,PA,1997,10403,12871,21927,27971,41.408969,-75.6624122
Shreveport,LA,1997,6613,7724,12263,20465,32.5251516,-93.7501789
Sioux City,IA,1997,3036,3442,6885,10931,42.4999942,-96.4003069
Sioux Falls,SD,1997,4571,6283,9554,12859,43.5499749,-96.700327
Spokane,WA,1997,8751,10345,17124,25233,47.6587802,-117.4260466
Springfield,IL,1997,4421,4613,6314,10603,39.8403147,-88.9548001
Springfield,MO,1997,7730,10500,16395,23618,37.215326,-93.2982436
Syracuse,NY,1997,11400,11458,22480,31406,43.0481221,-76.1474244
Terre Haute,IN,1997,3104,2701,4829,9567,39.4667034,-87.4139092
Toledo,OH,1997,11953,15475,27883,38604,41.6639383,-83.555212
Topeka,KS,1997,4471,5168,8287,10791,39.0483336,-95.6780371
Tucson,AZ,1997,13315,20961,28470,40114,32.2217429,-110.926479
Tulsa,OK,1997,17083,22074,42624,51824,36.1539816,-95.992775
Utica,NY,1997,4858,4829,7767,12860,43.100903,-75.232664
Victoria,TX,1997,2234,2528,2729,4966,28.8052674,-97.0035982
Visalia,CA,1997,4671,4791,7689,11970,36.3302284,-119.2920585
Wilmington,NC,1997,6243,8557,10387,14337,34.2257255,-77.9447102
York,PA,1997,6266,5437,13197,20653,39.9625984,-76.727745
Youngstown,OH,1997,10963,12141,21995,28661,41.0997803,-80.6495194
Akron,OH,2002,13138,16870,25455,52081,41.0814447,-81.5190053
Albany,GA,2002,2664,3559,4499,7371,31.5785074,-84.155741
