city,state,year,firms,job_births,job_continuers,job_destruction,lat,lon
Madison,WI,1977,7091,8919,11210,14275,43.0730517,-89.4012302
Manchester,NH,1977,4982,6649,10664,12608,42.9956397,-71.4547891
Mankato,MN,1977,1563,1972,2159,3555,44.1635775,-93.9993996
McAllen,TX,1977,3509,5312,5724,8416,26.2034071,-98.2300124
Memphis,TN,1977,14495,41764,41299,46991,35.1495343,-90.0489801
Midland,TX,1977,2145,3934,3976,6162,31.9973456,-102.0779146
Milwaukee,WI,1977,22731,33052,54338,66631,43.0389025,-87.9064736
Missoula,MT,1977,1764,2379,2270,2751,46.872146,-113.9939982
Modesto,CA,1977,4147,7191,6890,8843,37.6390972,-120.9968782
Montgomery,AL,1977,4369,7251,7363,11577,32.3668052,-86.2999689
Myrtle Beach,SC,1977,2192,2455,4064,3730,33.6890603,-78.8866943
Naples,FL,1977,1956,3331,2058,3543,26.1420358,-81.7948103
Nashville,TN,1977,14435,25558,33670,42820,36.1658899,-86.7844432
New Haven,CT,1977,13531,19706,33505,27019,41.3081527,-72.9281577
New Orleans,LA,1977,18866,35879,45141,62217,29.9647222,-90.0705556
New York,NY,1977,315279,418573,604409,865740,40.7142691,-74.0059729
Oklahoma City,OK,1977,15596,26889,28111,39625,35.4675602,-97.5164276
Omaha,NE,1977,11144,18833,27772,33912,41.254006,-95.999258
Panama City,FL,1977,1839,3275,1958,5040,30.1588129,-85.6602058
Parkersburg,WV,1977,2757,2632,3956,5416,39.2667418,-81.5615135
Pensacola,FL,1977,4144,5889,6227,9583,30.421309,-87.2169149
Philadelphia,PA,1977,79140,139303,208307,261837,39.952335,-75.163789
Phoenix,AZ,1977,22443,47554,52999,80392,33.4483771,-112.0740373
Pine Bluff,AR,1977,1652,2051,2025,3089,34.2284312,-92.0031955
Pittsburgh,PA,1977,37861,59848,77377,105509,40.4406248,-79.9958864
Pocatello,ID,1977,1385,1823,10538,2924,42.8713032,-112.4455344
Portland,OR,1977,23344,40690,47038,61528,45.5234515,-122.6762071
Pueblo,CO,1977,2092,3679,2418,5338,38.2544472,-104.6091409
Rapid City,SD,1977,1857,2547,2600,3612,44.0805434,-103.2310149
Redding,CA,1977,2286,3276,2796,4583,40.5865396,-122.3916754
Reno,NV,1977,4251,8536,9412,9559,39.5296329,-119.8138027
Rochester,NY,1977,13246,16358,34685,36216,43.1547845,-77.6155567
Rockford,IL,1977,4784,6512,11476,11948,42.2711311,-89.0939952
St. Joseph,MO,1977,2097,2326,2932,5197,39.7577778,-94.8363889
St. Louis,MO,1977,38537,58960,114574,119342,38.646991,-90.224967
Salinas,CA,1977,4814,6789,10167,9878,36.6777372,-121.6555013
Salisbury,MD,1977,1718,1952,3011,3546,38.3606736,-75.5993692
Salt Lake City,UT,1977,11302,22060,27998,36092,40.7607793,-111.8910474
San Angelo,TX,1977,1731,2232,2360,3515,31.4637723,-100.4370375
San Antonio,TX,1977,15884,30866,31092,44006,29.4241219,-98.4936282
San Diego,CA,1977,25651,51622,54512,68422,32.7153292,-117.1572551
San Jose,CA,1977,20187,45139,58719,57875,37.3393857,-121.8949555
San Luis Obispo,CA,1977,2833,3801,3891,4622,35.2827524,-120.6596156
Santa Fe,NM,1977,1637,2508,2231,2806,35.6869752,-105.937799
Savannah,GA,1977,3935,5198,7828,16917,32.0835407,-81.0998342
Scranton,PA,1977,9332,11162,25568,25762,41.408969,-75.6624122
